Name,Beer Name (Full),ABV
HopDevil,Victory Brewing Company HopDevil Ale,"0,07"
Blind Pig,Russian River Brewing Company Blind Pig IPA,"0,06"
Furious,Surly Brewing Company Furious,"0,07"
Lunch,Maine Beer Company Lunch,"0,07"
Fresh Squeezed IPA,Deschutes Brewery Fresh Squeezed IPA,"0,06"
Flower Power India Pale Ale,Ithaca Beer Company Flower Power India Pale Ale,"0,07"
"Smuttynose IPA ""Finest Kind""","Smuttynose Brewing Company Smuttynose IPA ""Finest Kind""","0,07"
ApriHop,Dogfish Head Brewery ApriHop,"0,07"
Harvest Ale,Founders Brewing Company Founders Harvest Ale,"0,08"
Duet,Alpine Beer Company Duet IPA,"0,07"
Head Hunter,Fat Heads Brewery & Saloon Fat Head's Head Hunter IPA,"0,08"
Hop Nosh IPA,Uinta Brewing Company Hop Notch IPA,"0,07"
Big Eye,Ballast Point Brewing Company Big Eye Double Ginger,"0,07"
IPA,AleSmith Brewing Company AleSmith IPA,"0,07"
Titan IPA,Great Divide Brewing Company Titan IPA,"0,07"
Nelson,Alpine Beer Company Nelson,"0,07"
Samuel Adams Latitude 48 IPABoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Latitude 48 IPA,"0,06"
Hop Wallop,Victory Brewing Company Hop Wallop,"0,08"
75 Minute IPA,Dogfish Head Brewery 75 Minute IPA,"0,08"
Northern Hemisphere Harvest Wet Hop IPA,Sierra Nevada Brewing Co. Northern Hemisphere Harvest Wet Hop Ale,"0,07"
IPA,SweetWater Brewing Company Sweetwater IPA,"0,06"
Hopsecutioner,Terrapin Beer Company Terrapin Hopsecutioner,"0,07"
Anchor Liberty Ale,Anchor Brewing Company Anchor Liberty Ale,"0,06"
Snake Dog,Flying Dog Brewery Snake Dog IPA,"0,07"
Deviant Dale's IPA,Oskar Blues Grill & Brew Deviant Dale's IPA,"0,08"
Brew Free Or Die IPA,21st Amendment Brewery 21st Amendment IPA,"0,07"
Crooked Tree IPA,Dark Horse Brewing Company Dark Horse Crooked Tree IPA,"0,07"
IPA,Odell Brewing Company British IPA,"0,07"
Hop Ottin' IPA,Anderson Valley Brewing Company Hop Ottin' IPA,"0,07"
India Pale Ale (IPA),Avery Brewing Company India Pale Ale (IPA),"0,07"
Raging Bitch,Flying Dog Brewery Raging Bitch Belgian-Style IPA,"0,08"
A Little Sumpin' Wild,Lagunitas Brewing Company A Little Sumpin' Wild,"0,09"
Houblon Chouffe Dobbelen IPA Tripel,Brasserie d'Achouffe Houblon Chouffe Dobbelen IPA Tripel,"0,09"
Green Flash Le Freak,Green Flash Brewing Co. Green Flash Le Freak,"0,09"
Chainbreaker White IPA,Deschutes Brewery Chainbreaker White IPA,"0,06"
Citra Bitter Monk,Anchorage Brewing Company Bitter Monk,"0,09"
Hugh Malone,Allagash Brewing Company Allagash Hugh Malone,"0,07"
Urthel Hop-ItDe Leyerth Brouwerijen (Urthel),De Leyerth Brouwerijen (Urthel) Urthel Hop-It,"0,10"
Otter Creek Fresh Slice,Otter Creek Brewing / Wolaver's Otter Creek Solstice,"0,06"
Bedlam,Ale Asylum Bedlam,"0,07"
Gouden Carolus Hopsinjoor,Brouwerij Het Anker Gouden Carolus Hopsinjoor,"0,08"
Dernière Volonté,Brasserie Dieu Du Ciel Dernière Volonté,"0,07"
The Audacity Of Hops,Cambridge Brewing Company The Audacity Of Hops,"0,08"
Saranac White IPA,Matt Brewing Company Saranac White IPA,"0,06"
Smuttynose Homunculus (Big Beer Series),Smuttynose Brewing Company Smuttynose Homunculus (Big Beer Series),"0,09"
Triomphe Belgian IPA,Brewery Vivant Triomphe Belgian IPA,"0,07"
Hopus,Brasserie Lefèbvre SA Hopus,"0,08"
HopAnomaly - Reserve Series Aged In French Oak Chardonnay Barrels,Nebraska Brewing Company Hop God Reserve Series Aged In French Oak Chardonnay Barrels,"0,11"
Simcoe Silly,Kuhnhenn Brewing Company Kuhnhenn Simcoe Silly,"0,09"
Pan Galactic Gargle Blaster,Short's Brewing Company Pan Galactic Gargle Blaster,"0,10"
White IPA,Blue Point Brewing Company Blue Point IPA,"0,06"
Hoppy Daze IPA,Coronado Brewing Company Hoppy Daze IPA,"0,09"
Hop Wrangler,Peace Tree Brewing Co. Hop Wrangler,"0,06"
Gaspar Ale,Picobrouwerij Alvinne / Den Bierzolder Gaspar Ale,"0,08"
White Birch Hooksett Ale,White Birch Brewing White Birch Hooksett Ale,"0,08"
Aldebaran,Kuhnhenn Brewing Company Kuhnhenn Aldebaran,"0,10"
Back In Black,21st Amendment Brewery Back In Black,"0,07"
Yakima Glory,Victory Brewing Company Yakima Glory,"0,09"
Snow Day Winter Ale,New Belgium Brewing Snow Day Winter Ale,"0,06"
Hoppy Feet,Clown Shoes Hoppy Feet,"0,07"
Hop In The Dark Cascadian Dark Ale,Deschutes Brewery Hop In The Dark Cascadian Dark Ale,"0,07"
Reserve Special Black Ale,Dark Horse Brewing Company Dark Horse Reserve Special Black Bier Ale,"0,08"
Pitch Black IPA,Widmer Brothers Brewing Company Pitch Black IPA,"0,07"
Heavy Seas Black Cannon,Heavy Seas Beer Heavy Seas Black Cannon,"0,07"
Anger,Greenbush Brewing Company Anger,"0,08"
Black Racer,Bear Republic Brewing Co. Black Racer,"0,08"
Hop Strike Black IPA,Tommyknocker Brewery Hop Strike Black IPA,"0,07"
Toxic Sludge,Blue Point Brewing Company Blue Point Toxic Sludge,"0,07"
James Black Ale,Hill Farmstead Brewery James Black Ale,"0,07"
Damien,Surly Brewing Company Damien,"0,07"
Morimoto Black Obi Soba Ale,Rogue Ales Morimoto Black Obi Soba Ale,"0,05"
Widow Maker Black Ale,Keweenaw Brewing Company Widow Maker Black Ale,"0,05"
Black Hatter,New Holland Brewing Company New Holland Black Hatter,"0,06"
B-Craft Black,Arcadia Brewing Company Arcadia B-Craft Black IPA,"0,09"
Hop Noir,Peak Organic Brewing Company Hop Noir,"0,08"
Black Perle Dark India Pale Ale,RJ Rockers Brewing Company Black Perle,"0,10"
Bludgeon Yer Eye PA,Short's Brewing Company Bludgeon Yer Eye PA,"0,05"
NetherWorld Cascadian Dark Ale,Flying Monkeys Craft Brewery Flying Monkeys Netherworld Cascadian Dark Ale,"0,06"
Foster,Hill Farmstead Brewery Foster,"0,07"
IPA,Harpoon Brewery Harpoon IPA,"0,06"
Commodore Perry,Great Lakes Brewing Company Great Lakes Commodore Perry IPA,"0,08"
East India Pale Ale,Brooklyn Brewery Brooklyn East India Pale Ale,"0,07"
Brutal,Rogue Ales Brutal Bitter Ale,"0,06"
India AleSamuel Smith Old Brewery (Tadcaster),Samuel Smith Old Brewery (Tadcaster) Samuel Smith's India Ale,"0,05"
Blackheart,Three Floyds Brewing Co. & Brewpub Blackheart,"0,09"
Blind Faith,Magic Hat Brewing Company Blind Faith,"0,06"
Fuggles IPA,Shipyard Brewing Co. Fuggles IPA,"0,06"
HopFish IPA,Flying Fish Brewing Company HopFish IPA,"0,06"
Lost Sailor India Pale Ale,Berkshire Brewing Company Inc. Lost Sailor India Pale Ale,"0,06"
IPA,Arcadia Brewing Company Arcadia IPA,"0,06"
Sweet Child Of Vine,Fulton Beer Sweet Child Of Vine,"0,06"
India Pale Ale,Meantime Brewing Company Limited India Pale Ale,"0,08"
India Pale Ale,Green Man Brewery Green Man India Pale Ale,"0,06"
Hitachino Nest Japanese Classic Ale,Kiuchi Brewery Hitachino Nest Japanese Classic Ale,"0,07"
Cold Hop British-Style Ale,Boulder Beer / Wilderness Pub Cold Hop British-Style Ale,"0,07"
Bad Elf Winter's Ale,Ridgeway Brewing Bad Elf,"0,06"
Naughty 90,Toppling Goliath Brewing Company Naughty 90,"0,08"
ImPaled Ale,"Middle Ages Brewing Co., Ltd. ImPaled Ale","0,07"
India Pale Ale,St. Peter's Brewery Co Ltd St. Peter's India Pale Ale,"0,06"
Kennebunkport IPA,Federal Jack's Restaurant & Brew Pub Kennebunkport IPA,"0,06"
Hopnotic India Pale Ale,Cricket Hill Brewing Co. Hopnotic India Pale Ale,"0,07"
Fuller's India Pale Ale,Fuller Smith & Turner PLC Fuller's India Pale Ale,"0,05"
El Guapo Agave IPA,O'Connor Brewing Co. El Guapo IPA,"0,08"
Worthington's White Shield,Museum Brewing Company / White Shield Brewery Worthington's White Shield,"0,06"
Old East India Pale Ale,Sea Dog Brewing Company Sea Dog Old East India Pale Ale,"0,06"
Duke Of Wellington India Pale Ale,Granite City Food & Brewery Duke Of Wellington India Pale Ale,"0,05"
Deuchars IPA,The Caledonian Brewing Company Deuchars IPA,"0,04"
Southampton Burton IPA,Southampton Publick House Southampton Burton Ale,"0,07"
Greene King IPA,Greene King / Morland Brewery Greene King IPA,"0,04"
Flagship IPA,Carolina Brewery Flagship IPA,"0,06"
St-Ambroise India Pale Ale,McAuslan Brewing St-Ambroise India Pale Ale,"0,06"
Proper Job,St. Austell Brewery Proper Job,"0,06"
Dead Elephant,Railway City Brewing Company Railway City Dead Elephant Ale,"0,07"
Dead Horse IPA,McNeill's Brewery McNeill's Dead Horse IPA,"0,06"
Trinity IPA,Trinity Brewhouse Trinity IPA,"0,07"
India Pale Ale,"St. George Brewing Company, The India Pale Ale","0,06"
90 Minute IPA,Dogfish Head Brewery 90 Minute IPA,"0,09"
Pliny The Elder,Russian River Brewing Company Pliny The Elder,"0,08"
Lagunitas Sucks,Lagunitas Brewing Company Lagunitas Sucks Holiday Ale,"0,08"
120 Minute IPA,Dogfish Head Brewery 120 Minute IPA,"0,18"
West Coast IPA,Green Flash Brewing Co. Green Flash West Coast I.P.A.,"0,08"
Hop Stoopid,Lagunitas Brewing Company Hop Stoopid,"0,08"
Double Jack,Firestone Walker Brewing Co. Double Jack,"0,10"
Burton Baton,Dogfish Head Brewery Burton Baton,"0,10"
Double Trouble,Founders Brewing Company Founders Double Trouble,"0,09"
Hoptimum,Sierra Nevada Brewing Co. Hoptimum Double IPA - Beer Camp #19,"0,11"
Dreadnaught IPA,Three Floyds Brewing Co. & Brewpub Dreadnaught IPA,"0,10"
Maharaja,Avery Brewing Company Maharaja,"0,10"
Maximus,Lagunitas Brewing Company Maximus,"0,08"
Devil Dancer,Founders Brewing Company Founders Devil Dancer,"0,12"
2XIPA,Southern Tier Brewing Company 2XIPA,"0,08"
Abrasive Ale,Surly Brewing Company Abrasive Ale,"0,09"
Hercules Double IPA,Great Divide Brewing Company Hercules Double IPA,"0,10"
Perpetual IPA,Tröegs Brewing Company Tröegs Perpetual IPA,"0,08"
Pure Hoppiness,Alpine Beer Company Pure Hoppiness,"0,08"
Arctic Panzer Wolf,Three Floyds Brewing Co. & Brewpub Arctic Panzer Wolf,"0,09"
Pliny The Younger,Russian River Brewing Company Pliny The Younger,"0,10"
Unearthly (Imperial India Pale Ale),Southern Tier Brewing Company Unearthly (Imperial India Pale Ale),"0,10"
A Little Sumpin' Extra! Ale,Lagunitas Brewing Company A Little Sumpin' Extra! Ale,"0,09"
Myrcenary Double IPA,Odell Brewing Company Myrcenary Double IPA,"0,09"
Gubna,Oskar Blues Grill & Brew GUBNA Imperial IPA,"0,10"
Dorado,Ballast Point Brewing Company Dorado Double IPA,"0,10"
Double Crooked Tree IPA,Dark Horse Brewing Company Dark Horse Double Crooked Tree IPA,"0,12"
Lake Erie Monster,Great Lakes Brewing Company Great Lakes Lake Erie Monster,"0,10"
Green Flash Imperial India Pale Ale,Green Flash Brewing Co. Green Flash Imperial India Pale Ale,"0,09"
Hop Henge,Deschutes Brewery Hop Henge Experimental IPA,"0,08"
Double Sunshine,Lawson's Finest Liquids Double Sunshine IPA,"0,08"
Ruination Double IPA 2.0,Stone Brewing Co. Stone Ruination IPA,"0,09"
The Waldos' Special Ale,Lagunitas Brewing Company Waldos' Special Ale,"0,12"
Hop JuJu,Fat Heads Brewery & Saloon Hop JuJu Imperial IPA,"0,09"
471 Small Batch IPA,Breckenridge Brewery 471 IPA,"0,09"
Heady Topper,The Alchemist Heady Topper,"0,08"
Abner,Hill Farmstead Brewery Abner Imperial IPA,"0,08"
Ephraim,Hill Farmstead Brewery Ephraim,"0,10"
Fiddlehead IPA,Fiddlehead Brewing Company IPA,"0,06"
Ochakovskiy Kvass,Ochakovo Ochakovskiy Kvass,"0,02"
Kvas,All Stars Bakery Kvas,"0,01"
Monastyrskiy Kvas,Monastyrskiy Kvas Monastyrskiy Kvas,"0,02"
Kvass,Beaver Brewing Company Kvass,"0,02"
Khlebny Kray,Baltika Breweries Khlebny Kray,"0,01"
Nicola Traditional,Deka Brewery Nicola,"0,01"
Kvas Taras (квас тарас),Slavutych Brewery Kvas Taras,"0,01"
Duonos Gira Kvass,Gubernija Brewery Gubernija Duonos Gira Kvass,"0,01"
Monastyrskiy Okroshka Kvass (Монастырский Окрошка Квас),Monastyrskiy Kvas Monastyrskiy Okroshka Kvas,"0,02"
Nesher Malt,Tempo Beer Industries LTD Nesher Malt,"0,02"
Obolon Kwas Chlebowy,Obolon Brewery Obolon Kwas Chlebowy,"0,02"
Krushka & Bochka Kvass,Pivovarinniy Zavod Samko Krushka & Bochka Kvass,"0,02"
Monastyrskiy Black Currant Kvas,Monastyrskiy Kvas Monastyrskiy Black Currant Kvas,"0,02"
Danilo Classic Kvas,"Darl, Tov Danilo Classic Kvas","0,02"
Danilo Okroshka Kvas,"Darl, Tov Danilo Okroshka Kvas","0,02"
Danilo Pohmilny Kvas,"Darl, Tov Danilo Pohmilny Kvas","0,02"
Malty,Israel Beer Breweries Ltd. Malty,"0,01"
Smetoniška Gira,Vofas-Engelman Smetonika Gira,"0,01"
Brordinskiy Classical Kvass (Бородинский Классический Квас),Borodino ZAO Borodinskiy Kvas,"0,01"
Drevlyansky Kvass,Radomyshlskij Pivovarennyj Zavod Drevlyansky Kvass,"0,02"
Olimpia Kvas,SP Etrus Olimpia Kvas,"0,02"
Summertime,Goose Island Beer Co. Summertime,"0,05"
Reissdorf Kölsch,Brauerei Heinrich Reissdorf Reissdorf Kölsch,"0,05"
Gaffel Kölsch,Privatbrauerei Gaffel Becker & Co. Gaffel Kölsch,"0,05"
Fancy Lawnmower,Saint Arnold Brewing Company Saint Arnold Fancy Lawnmower,"0,05"
Samuel Adams East-West KölschBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams East-West Kölsch,"0,05"
Full Circle,New Holland Brewing Company New Holland Full Circle,"0,05"
Santo,Saint Arnold Brewing Company Saint Arnold Santo,"0,05"
Calumet Queen,Three Floyds Brewing Co. & Brewpub Calumet Queen,"0,05"
Früh Kölsch,Brauerei Früh Am Dom Früh Kolsch,"0,05"
Sünner Kölsch,Gebr. Sünner GmbH & Co. KG Sünner Kölsch,"0,05"
Clearwater Kölsch,Captain Lawrence Brewing Co. Captain's Kölsch,"0,05"
Curve Ball Blonde Ale,"Pyramid Breweries, Inc. Curve Ball Blonde Ale","0,05"
Saranac Kölsch,Matt Brewing Company Saranac Kölsch,"0,05"
Kölsch,Sierra Nevada Brewing Co. Sierra Nevada Kölsch Style Ale,"0,05"
Krankshaft Kölsch,Metropolitan Brewing Krankshaft Kölsch,"0,05"
32°/50° Kölsch,COAST Brewing Company 32/50,"0,05"
Karnival Kolsch,Stoudts Brewing Co. Karnival Kolsch,"0,05"
Endless River,Mother Earth Brewing Endless River,"0,05"
Lug Tread Lagered Ale,Beau's All Natural Brewing Company Lug Tread Lagered Ale,"0,05"
Geary's Summer Ale,D.L. Geary Brewing Company Geary's Summer Ale,"0,06"
Lancaster Kölsch,Lancaster Brewing Company Lancaster Kölsch,"0,05"
Dundee Kolsch Style Ale,Genesee Brewing Co. / Dundee Brewing Co. Dundee Kolsch Style Ale,"0,05"
Kölsch 151,Blue Mountain Brewery Kölsch 151,"0,05"
HooDoo Kölsch Style Ale,Uinta Brewing Company HooDoo,"0,04"
Shiner Kölsch,Spoetzl Brewery Shiner Kölsch,"0,05"
Gateway Kolsch,French Broad Brewing Co. Gateway Kolsch,"0,05"
Gold Spike Ale,Berkshire Brewing Company Inc. Gold Spike Ale,"0,04"
Kolsch 45,Short's Brewing Company Kolsch 45,"0,07"
Kolsch,Rock Bottom Restaurant & Brewery Kolsch,"0,05"
Angry Angel,Big Boss Brewing Angry Angel Kolsch,"0,05"
Josephs Brau Summer Brew,Trader Joe's Brewing Company Josephs Brau Summer Brew,"0,05"
Sunbru,Four Peaks Brewing Company Sunbru Kölsch-Style Ale,"0,05"
Budweiser,Anheuser-Busch Budweiser,"0,05"
Pabst Blue Ribbon (PBR),Pabst Brewing Company Pabst Blue Ribbon (PBR),"0,05"
Corona Extra,Grupo Modelo S.A. de C.V. Corona Extra,"0,05"
Miller High Life,Miller Brewing Co. Miller High Life,"0,05"
Red Stripe Jamaican Lager,Desnoes & Geddes Limited Red Stripe Jamaican Lager,"0,05"
Rolling Rock Extra Pale,Latrobe Brewing Co. Rolling Rock Extra Pale,"0,04"
Dos Equis Special Lager,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V. Dos Equis Special Lager","0,04"
Modelo Especial,Grupo Modelo S.A. de C.V. Modelo Especial,"0,04"
Miller Genuine Draft,Miller Brewing Co. Miller Genuine Draft,"0,05"
Labatt Blue,Labatt Brewing Company Ltd. Labatt Blue,"0,05"
Foster's Lager,Foster's Group Limited Foster's Lager,"0,05"
Tecate,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V. Tecate","0,05"
Landshark Lager,Margaritaville Brewing Co. Landshark Lager,"0,05"
Molson Canadian Lager,Molson Coors Canada Molson Canadian Lager,"0,05"
Busch Beer,Anheuser-Busch Busch Beer,"0,04"
Sol,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V. Sol","0,05"
Natural Ice,Anheuser-Busch Natural Ice,"0,06"
Narragansett Lager,Narragansett Brewing Co. Narragansett Lager,"0,05"
Icehouse,Miller Brewing Co. Icehouse,"0,06"
Batch 19Coors Brewing Company (Molson-Coors),Coors Brewing Company Batch 19,"0,06"
Bud Ice,Anheuser-Busch Bud Ice,"0,06"
Hamm's,Hamm's Brewing Co. Hamm's,"0,05"
Lone Star Beer,Pabst Brewing Company Lone Star Beer,"0,05"
Old Milwaukee Beer,Pabst Brewing Company Old Milwaukee Beer,"0,05"
Presidente,Cerveceria Nacional Dominicana Presidente,"0,05"
Milwaukee's Best,Miller Brewing Co. Milwaukee's Best Dry,"0,05"
Red Dog,Miller Brewing Co. Red Dog,"0,05"
Keystone IceCoors Brewing Company (Molson-Coors),Coors Brewing Company Keystone Ice,"0,06"
Old Style,Pabst Brewing Company Old Style,"0,05"
Milwaukee's Best Ice,Miller Brewing Co. Milwaukee's Best Ice,"0,06"
Genesee Beer,Genesee Brewing Co. / Dundee Brewing Co. Genesee Beer,"0,05"
Original,Jacob Leinenkugel Brewing Company Leinenkugel's Original,"0,05"
Stroh's,Pabst Brewing Company Stroh's,"0,05"
Grain Belt Premium,August Schell Brewing Company Grain Belt Premium,"0,05"
Carta Blanca,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V. Carta Blanca","0,05"
Imperial,Cerveceria Costa Rica Imperial,"0,05"
National Bohemian Beer,Pabst Brewing Company National Bohemian Beer,"0,04"
Iron City Beer,Pittsburgh Brewing Co. Iron City Beer,"0,05"
Schlitz (Classic 1960's Formula)JOS. Schlitz Brewing Co. (Pabst),JOS. Schlitz Brewing Co. (Pabst) Schlitz Gusto (Classic 1960's Formula),"0,05"
Taj Mahal Premium Lager,United Breweries - UB Group Taj Mahal Premium Lager,"0,05"
Molson Ice,Molson Coors Canada Molson Ice,"0,06"
Lionshead Pilsner,"Lion Brewery, Inc. Lionshead Pilsner","0,05"
Carib Lager,Carib Brewery Limited Carib Lager,"0,05"
Birra Peroni,Birra Peroni Industriale S.p.A. Birra Peroni,"0,05"
Super Bock,UNICER União Cervejeira S.A. Super Bock,"0,05"
Lager,Brooklyn Brewery Brooklyn Lager,"0,05"
Toasted Lager,Blue Point Brewing Company Blue Point Toasted Lager,"0,06"
Amber,Abita Brewing Co. Amber,"0,05"
Original Honey Brown Extra Rich Lager (Beer Brewed With Honey),Genesee Brewing Co. / Dundee Brewing Co. Dundee Original Honey Brown Lager,"0,05"
Riverwest Stein Beer,"Lakefront Brewery, Inc. Riverwest Stein Beer","0,06"
Vinyl,Magic Hat Brewing Company Vinyl,"0,05"
Barking Squirrel Lager,Hop City Brewing Co. Barking Squirrel Lager,"0,05"
Redbridge,Anheuser-Busch Redbridge,"0,04"
ZiegenBock Amber,Anheuser-Busch ZiegenBock Amber,"0,05"
Grain Belt Nordeast,August Schell Brewing Company Grain Belt Nordeast,"0,05"
Wisconsin Amber,Capital Brewery Wisconsin Amber,"0,05"
Rickard's Red,Molson Coors Canada Rickard's Red,"0,05"
Creemore Springs Premium Lager,Creemore Springs Brewery Limited Creemore Springs Premium Lager,"0,05"
Red Oak Amber,Red Oak Brewery Red Oak Amber,"0,05"
Texas Red Amber Lager,Rahr & Sons Brewing Company Rahr's Red Amber Lager,"0,05"
Point Classic Amber,Stevens Point Brewery Point Classic Amber,"0,05"
Sleeman Honey Brown Lager,Sleeman Breweries Ltd. Sleeman Honey Brown Lager,"0,05"
Winter Skål,Capital Brewery Winter Skål,"0,06"
Schell's Dark,August Schell Brewing Company Schell's Dark,"0,05"
Starr Hill Jomo Lager,Starr Hill Brewery Starr Hill Jomo Lager,"0,06"
Colorado Native Amber Lager,AC Golden Brewing Company Colorado Native Lager,"0,06"
Fisherman's Brew,Cape Ann Brewing Company Fisherman's Brew,"0,06"
Michelob Honey Lager,Anheuser-Busch Michelob Honey Lager,"0,05"
Ornery Amber,Tommyknocker Brewery Ornery Amber,"0,05"
Pre-Prohibition Style Lager,Lucky Bucket Brewing Co. Pre-Prohibition Style Lager,"0,05"
Trader Jose's Dark Lager,Trader Joe's Brewing Company Trader Jose's Dark Lager,"0,05"
Hudepohl Amber Lager,Hudepohl-Schoenling Brewing Co. Amber Lager,"0,00"
Cypress Honey Lager,Granville Island Brewery Cypress Honey Lager,"0,05"
Rochester Red,Rochester Mills Beer Co. Rochester Mills Rochester Red,"0,06"
Ruby Lager,Olde Hickory Brewery Ruby Lager,"0,04"
Dundee Irish Red Lager,Genesee Brewing Co. / Dundee Brewing Co. Dundee Irish Red Lager,"0,05"
Muddy Creek Lager,The Defiant Brewing Company Muddy Creek Lager,"0,06"
Stegmaier Amber Lager,"Lion Brewery, Inc. Stegmaier Amber Lager","0,05"
Mojave Red,Indian Wells Brewing Company Mojave Red,"0,00"
Longboard Island Lager,Kona Brewing Co. Longboard Island Lager,"0,05"
Sapporo Premium Beer,Sapporo Breweries Ltd. Sapporo Premium Beer,"0,05"
Kirin Ichiban,"Kirin Brewery Company, Limited Kirin Ichiban","0,05"
Lager,Moosehead Breweries Ltd. Alpine Lager,"0,05"
Totally Naked,New Glarus Brewing Company Totally Naked,"0,04"
Michelob (Original Lager),Anheuser-Busch Michelob (Original Lager),"0,05"
Shiner Kosmos Reserve,Spoetzl Brewery Shiner Kosmos Reserve,"0,05"
Shiner Blonde,Spoetzl Brewery Shiner Blonde,"0,04"
Molson Golden,Molson Coors Canada Molson Golden,"0,05"
Joe's Premium American Pilsner,Avery Brewing Company Joe's Premium American Pilsner,"0,05"
Simpler Times Lager,Minhas Craft Brewery Simpler Times Lager,"0,06"
Henry Weinhard's Private Reserve,Blitz-Weinhard Brewing Co. Henry Weinhard's Private Reserve,"0,05"
Supper Club,Capital Brewery Supper Club Lager,"0,05"
Mexican Logger,Ska Brewing Co. Mexican Logger,"0,05"
Craft Lager,Upslope Brewing Company Upslope Craft Lager,"0,05"
Orange Blossom Pilsner,Orange Blossom Pilsner LLC Orange Blossom Pilsner,"0,06"
Kenzinger,Philadelphia Brewing Company Kenzinger,"0,05"
Golden,Abita Brewing Co. Golden,"0,04"
Alpine Glacier Lager,Tommyknocker Brewery Alpine Glacier Lager,"0,05"
Sleeman Original Draught,Sleeman Breweries Ltd. Original Draught,"0,05"
East Coast Lager,Cricket Hill Brewing Co. East Coast Lager,"0,04"
Northwoods Lager,Jacob Leinenkugel Brewing Company Northwoods Lager,"0,05"
Dortmunder Gold,Great Lakes Brewing Company Great Lakes Dortmunder Gold,"0,06"
Jinx Proof,Three Floyds Brewing Co. & Brewpub Jinx Proof,"0,05"
DAB Original,Dortmunder Actien Brauerei / DAB DAB Original,"0,05"
Baltika #7 Export,Baltika Breweries Baltika #7 Export,"0,05"
Dog Days Dortmunder Style Lager,Two Brothers Brewing Company Dog Days Dortmunder Style Lager,"0,05"
33 ExportVBL Tien Giang Limited (Fosters),VBL Tien Giang Limited (Fosters) 33 Export,"0,05"
Shiner Dortmunder (Spring Ale),Spoetzl Brewery Shiner Dortmunder,"0,06"
Svyturys Ekstra,UAB Švyturys Svyturys Ekstra,"0,05"
Mountain Lager,Appalachian Brewing Company Mountain Lager,"0,05"
Labrador Lager,Thirsty Dog Brewing Company Labrador Lager,"0,06"
Imperial Dortmunder,Great Lakes Brewing Company Great Lakes Imperial Dortmunder,"0,08"
Yebisu (Premium),Sapporo Breweries Ltd. Yebisu (Premium),"0,05"
Shiner Fröst,Spoetzl Brewery Shiner Fröst,"0,05"
DAB Export,Dortmunder Actien Brauerei / DAB DAB Export,"0,05"
Flensburger Gold,Flensburger Brauerei GmbH Und Co. KG Flensburger Gold,"0,05"
Golden Export,Gordon Biersch Brewery Restaurant Gordon Biersch Golden Export,"0,05"
Dortmunder Local Export Lager,Minneapolis Town Hall Brewery Dortmunder Lager,"0,05"
Reutberger Export Hell,Klosterbrauerei Reutberg Reutberger Export Hell,"0,05"
Premium Edel (Spezialbier Edel),Aktien-Brauerei Kaufbeuren AG Premium Edel (Spezialbier Edel),"0,06"
God Lager,the Nils Oscar Company Nils Oscar God Lager,"0,05"
Alpen Stoff,Bürgerbräu Bad Reichenhall Alpen Stoff,"0,05"
Mariestads Export,Spendrups Bryggeri AB Mariestads Export,"0,05"
Loose Caboose Lager,Depot Street Brewing Loose Caboose Lager,"0,06"
Tegernsee Spezial,Herzoglich Bayerisches Brauhaus Tegernsee Tegernsee Spezial,"0,06"
Mönchshof Landbier,Kulmbacher Brauerei AG Mönchshof Landbier,"0,05"
Lunatic Lager,Moonlight Brewing Company Lunatic Lager,"0,05"
Svyturys Ekstra Draught,UAB Švyturys Svyturys Ekstra Draught,"0,05"
Norrlands Guld Export,Spendrups Bryggeri AB Norrlands Guld Export,"0,05"
Hansa Imported Dortmunder,Hansa Brauerei / Namibia Breweries Hansa Imported Dortmunder,"0,05"
Lager,Howe Sound Inn & Brewing Company Lager,"0,06"
Hansa Export,Dortmunder Actien Brauerei / DAB Hansa Export,"0,05"
Allgäuer Hüttenbier,Der HirschBrau/Privatbrauerei Höss Allgäuer Hüttenbier,"0,05"
Barnburner Lager,Lagerheads Smokehouse & Brewing Co. Barnburner Lager,"0,06"
Aktien Original 1857,Bayreuther Bierbrauerei Aktien Original 1857,"0,05"
Jägerbier Export Hell,Hofbrauhaus Freising Jägerbier Natürtrub Export Hell,"0,06"
1554,New Belgium Brewing 1554 Enlightened Black Ale,"0,06"
Guinness Black Lager,Guinness Ltd. Guinness Black Lager,"0,05"
Creamy Dark,Jacob Leinenkugel Brewing Company Leinenkugel's Creamy Dark,"0,05"
Heineken Dark Lager,Heineken Nederland B.V. Heineken Dark Lager,"0,05"
Baltika #4 Original (Dark),Baltika Breweries Baltika #4 Original (Dark),"0,06"
St. Pauli Girl Special Dark,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co. St. Pauli Girl Special Dark,"0,05"
Fischer Tradition Amber,Brasserie Fischer / Fischer Biere d' Alsace Fischer Tradition Amber,"0,06"
Death & Taxes,Moonlight Brewing Company Death & Taxes Black Beer,"0,05"
Efes Dark,Anadolu Efes Brewery Efes Dark,"0,07"
