Name,Beer Name (Full),ABV
Old Foghorn,Anchor Brewing Company Anchor Old Foghorn,"0,10"
Double Double Barrel Ale,Firestone Walker Brewing Co. Double Double Barrel Ale,"0,12"
Mirror Mirror,Deschutes Brewery Mirror Mirror,"0,11"
Arctic Devil Barley Wine,Midnight Sun Brewing Co. Arctic Devil Barley Wine,"0,13"
Horn Dog,Flying Dog Brewery Horn Dog Barley Wine Style Ale,"0,10"
Bourbon Barrel-Aged Barley Wine,Kuhnhenn Brewing Company Kuhnhenn Bourbon Barrel Barley Wine,"0,15"
J.W. Lees Harvest Ale (Lagavulin Whisky Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Lagavulin Whisky Cask),"0,12"
Bligh's Barleywine Ale,Dry Dock Brewing Co. Bligh's Barleywine Ale,"0,10"
J.W. Lees Harvest Ale (Calvados Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Calvados Cask),"0,12"
J.W. Lees Harvest Ale (Port Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Port Cask),"0,12"
Ridge Runner,Rock Art Brewery Ridge Runner,"0,07"
J.W. Lees Harvest Ale (Sherry Cask)J.W. Lees & Co (Brewers) Ltd,J.W. Lees & Co (Brewers) Ltd J.W. Lees Harvest Ale (Sherry Cask),"0,12"
Irish Walker,Olde Hickory Brewery Irish Walker,"0,10"
Criminally Bad Elf Barleywine-Style Ale,Ridgeway Brewing Criminally Bad Elf,"0,11"
Commander,Lift Bridge Brewery Commander,"0,13"
Pugsley's Signature Series: Barley Wine,Shipyard Brewing Co. Shipyard Barley Wine Style Ale (Pugsley's Signature Series),"0,09"
Bommen & Granaten,Brouwerij De Molen Bommen & Granaten,"0,15"
Double Old Thumper Ale,Shipyard Brewing Co. Double Old Thumper Ale,"0,11"
Wooden Hell,Flossmoor Station Restaurant & Brewery Wooden Hell,"0,10"
Golden Pride,Fuller Smith & Turner PLC Golden Pride,"0,09"
Stormwatcher's Winterfest,Pelican Pub & Brewery Stormwatcher's Winterfest,"0,13"
Old Abominable,Stoudts Brewing Co. Old Abominable,"0,09"
Fuller's ESB,Fuller Smith & Turner PLC Fuller's ESB,"0,06"
Hobgoblin Ruby,Wychwood Brewery Company Ltd Hobgoblin,"0,05"
Sawtooth,Left Hand Brewing Company Sawtooth Ale,"0,05"
Harvest Ale,Southern Tier Brewing Company Harvest Ale,"0,07"
Old Thumper,Shipyard Brewing Co. Old Thumper ESA,"0,06"
Abbot Ale,Greene King / Morland Brewery Abbot Ale,"0,05"
Anvil,AleSmith Brewing Company Anvil Ale ESB,"0,06"
Scarlet Lady Ale,Stoudts Brewing Co. Stoudt's Scarlet Lady ESB,"0,05"
Lord Rear Admiral,Three Floyds Brewing Co. & Brewpub Lord Admiral Nelson,"0,06"
Extra Special Ale (ESA),Yards Brewing Co. Extra Special Ale (ESA),"0,06"
Foster's Premium Ale,Foster's Group Limited Foster's Premium Ale,"0,06"
Belk's ESB,Anderson Valley Brewing Company Boont ESB,"0,07"
ESB,Green Man Brewery Green Man ESB,"0,06"
Motor Boat,SweetWater Brewing Company Sweetwater Motor Boat,"0,06"
ESB Special Ale,Ska Brewing Co. ESB Special Ale,"0,06"
Autumn Ale,Short's Brewing Company Short's Autumn Ale,"0,06"
Halloween Ale,Gritty McDuff's Brewing Company Gritty McDuff's Halloween Ale,"0,06"
Bishops Finger,Shepherd Neame Ltd Bishops Finger,"0,05"
13 Rebels ESB,French Broad Brewing Co. 13 Rebels ESB,"0,05"
Beast Bitter,"Middle Ages Brewing Co., Ltd. Beast Bitter","0,05"
Moondog Ale,Great Lakes Brewing Company Great Lakes Moondog ESB,"0,06"
Magnumus Ete Tomahawkus ESB³,Rock Art Brewery Magnumus Ete Tomahawkus ESB³,"0,08"
The Wise ESB,Elysian Brewing Company The Wise ESB,"0,06"
Red Rack Ale,Woodstock Inn Brewery Red Rack Ale,"0,06"
Christmas Ale,Gritty McDuff's Brewing Company Gritty McDuff's Christmas Ale,"0,06"
Bachelor ESB,Deschutes Brewery Bachelor ESB,"0,05"
Bleeding Buckeye Red Ale,Elevator Brewery & Draught Haus Elevator Bleeding Buckeye Red Ale,"0,06"
Extra Special Bitter (ESB),Propeller Brewery Propeller Extra Special Bitter (ESB),"0,05"
Steel Wheels ESB,Blue Mountain Brewery Steel Wheels ESB,"0,07"
Batemans XXXB,George Bateman and Son Ltd. / Batemans Brewery Batemans XXXB,"0,05"
XX Bitch Creek,Grand Teton Brewing Co. XX Bitch Creek,"0,08"
Adnams SSB (Suffolk Special Bitter),"Adnams plc, Sole Bay Brewery Adnams SSB (Suffolk Special Bitter)","0,05"
Naughty Hildegard ESB,Driftwood Brewery Naughty Hildegard ESB,"0,07"
Honker's Ale,Goose Island Beer Co. Honker's Ale,"0,04"
Fuller's London Pride,Fuller Smith & Turner PLC Fuller's London Pride,"0,05"
Bluebird Bitter,Coniston Brewing Co. Ltd Bluebird Bitter,"0,04"
Spitfire Premium Kentish Ale,Shepherd Neame Ltd Spitfire (Premium Ale Export),"0,05"
Younger's Special Bitter,Rogue Ales Younger's Special Bitter,"0,05"
The Naughty Nurse,City Steam Brewery Café City Steam Naughty Nurse Pale Ale,"0,05"
Ruddles County,Greene King / Morland Brewery Ruddles County,"0,05"
Foster's Special Bitter,Foster's Group Limited Foster's Special Bitter,"0,05"
Uncle Teddy's Bitter,Victory Brewing Company Uncle Teddy's Bitter,"0,04"
Doom Bar,Sharp's Brewery Doom Bar Bitter,"0,04"
Long Haul Session Ale,Two Brothers Brewing Company Long Haul Session Ale,"0,04"
Best Bitter,Gritty McDuff's Brewing Company Gritty McDuff's Best Bitter,"0,05"
Old Golden Hen,Greene King / Morland Brewery Old Golden Hen,"0,04"
Hopback Summer Lightning,Hop Back Brewery plc Hopback Summer Lightning,"0,05"
Belhaven Best,Belhaven Brewery Company Ltd. Belhaven Best,"0,04"
Adnams Southwold Bitter,"Adnams plc, Sole Bay Brewery Adnams Southwold Bitter","0,04"
Geary's Winter Ale,D.L. Geary Brewing Company Geary's Winter Ale,"0,06"
Brakspear Bitter,W.H. Brakspear & Sons plc Brakspear Bitter,"0,03"
Goliath,Wychwood Brewery Company Ltd Goliath,"0,04"
McNellie's Pub Ale,Marshall Brewing Company McNellie's Pub Ale,"0,05"
Ruby Red Ale,St. Peter's Brewery Co Ltd St. Peter's Ruby Red Ale,"0,04"
Op & Top,Brouwerij De Molen Op & Top,"0,05"
Tetley's Smoothflow,Carlsberg-Tetley Brewing Ltd Tetley's Smoothflow,"0,04"
Arkell Best Bitter,Wellington County Brewery Arkell Best Bitter,"0,04"
Chester County Bitter,Sly Fox Brewing Company Chester County Bitter,"0,05"
Cain's Finest Bitter,Robert Cain & Company Limited Cain's Best Bitter,"0,04"
Bitter,Ridgeway Brewing Ridgeway Bitter,"0,04"
Colonel Blides Cask Ale,Cricket Hill Brewing Co. Colonel Blides Cask Ale,"0,06"
T.E.A. (Traditional English Ale),Hog's Back Brewery T.E.A. (Traditional English Ale),"0,04"
XB Bluebird Bitter,Coniston Brewing Co. Ltd XB Bluebird Bitter,"0,04"
Pitchfork Rebellious Bitter,RCH Brewery Pitchfork Rebellious Bitter,"0,04"
HopHead,Dark Star Brewing Company Limited HopHead,"0,04"
Old Brewery BitterSamuel Smith Old Brewery (Tadcaster),Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Old Brewery Bitter,"0,04"
Little Dog,Hair of the Dog Brewing Company / Brewery and Tasting Room Little Dog,"0,04"
Best Bitter,St. Peter's Brewery Co Ltd St. Peter's Best Bitter,"0,04"
Camerons Strongarm,Castle Eden & Camerons Brewing Company Ltd Camerons Strongarm,"0,04"
HSB (Horndean Special Bitter),George Gale & Company Ltd HSB (Horndean Special Bitter),"0,05"
St. Patrick's Best,Strangford Lough Brewing Company Ltd St. Patrick's Best,"0,04"
Hooky Bitter,Hook Norton Brewery Co. Ltd. Hooky Bitter,"0,04"
West Bank Pub Ale,Minneapolis Town Hall Brewery West Bank Pub Ale,"0,05"
Adnams Bitter,"Adnams plc, Sole Bay Brewery Adnams Bitter","0,04"
DeuS (Brut Des Flandres),Brouwerij Bosteels DeuS (Brut Des Flandres),"0,12"
Nelson Sauvignon (Nelson Sauvin Brut),Mikkeller ApS Nelson Sauvignon (Nelson Sauvin Brut),"0,09"
Malheur Bière Brut (Brut Reserve),Brouwerij De Landtsheer NV Malheur Bière Brut (Brut Reserve),"0,12"
Malheur Brut Noir (Black Chocolate),Brouwerij De Landtsheer NV Malheur Brut Noir (Black Chocolate),"0,12"
Krait Prestige,Cobra Beer Partnership Limited Krait Prestige,"0,08"
Eisenbahn Lust,Cervejaria Sudbrack Ltda Eisenbahn Lust,"0,12"
Šamp - Pivní Sekt,Pivovarský D&#367;m amp - Pivní Sekt,"0,05"
Eisenbahn Lust Prestige,Cervejaria Sudbrack Ltda Eisenbahn Lust Prestige,"0,12"
Summer Love,Victory Brewing Company Summer Love,"0,05"
Sweet Action,Sixpoint Brewery Sweet Action,"0,05"
Big Wave Golden Ale,Kona Brewing Co. Big Wave Golden Ale,"0,04"
Twilight Summer Ale,Deschutes Brewery Twilight Ale,"0,05"
Tire Bite Golden Ale,Flying Dog Brewery Tire Bite Golden Ale,"0,05"
Export Ale,Shipyard Brewing Co. Shipyard Export Ale,"0,05"
Fireman's #4,Real Ale Brewing Company Fireman's #4,"0,05"
India Pale Ale,Alexander Keith's India Pale Ale,"0,05"
Samurai Ale,Great Divide Brewing Company Samurai Ale,"0,05"
Bombshell Blonde,Southern Star Brewing Company Bombshell Blonde,"0,05"
Farmhouse Summer Ale,Flying Fish Brewing Company Farmhouse Summer Ale,"0,05"
Single Chair Golden Ale,Magic Hat Brewing Company Single Chair Ale,"0,05"
Citra Blonde Summer Brew,Widmer Brothers Brewing Company Citra Summer Blonde Brew,"0,04"
True Blonde Ale,Ska Brewing Co. True Blonde Ale,"0,05"
Prairie Path Ale,Two Brothers Brewing Company Prairie Path Ale,"0,05"
Summer Ale,Blue Point Brewing Company Blue Point Summer Ale,"0,04"
Aud Blonde,Russian River Brewing Company Aud Blonde,"0,05"
Gossamer Golden Ale,Half Acre Beer Company Gossamer Golden Ale,"0,04"
Heavy Seas - Gold Ale,Heavy Seas Beer Heavy Seas - Gold Ale,"0,05"
Sum'r Summer Ale,Uinta Brewing Company Sum'R,"0,04"
Summer Honey Ale,Big Sky Brewing Company Summer Honey Ale,"0,05"
Ballantine XXX Ale,Pabst Brewing Company Ballantine XXX Ale,"0,05"
Molson Export,Molson Coors Canada Molson Export,"0,05"
Lonely Blonde,Fulton Beer Lonely Blonde,"0,05"
Summer Blonde Ale,River Horse Brewing Co. River Horse Summer Blonde,"0,05"
Knockout Blonde,Lawson's Finest Liquids Knockout Blonde,"0,05"
Blonde Ale,Thomas Hooker Brewing Company Thomas Hooker Blonde Ale,"0,05"
Bare Ass Blonde Ale,DuClaw Brewing Company Bare Ass Blonde Ale,"0,05"
NOLA Blonde AleNew Orleans Lager & Ale Brewing Company (NOLA),New Orleans Lager & Ale Brewing Company (NOLA) NOLA Blonde Ale,"0,05"
Alamo Golden Ale,Alamo Beer Co. Alamo Golden Ale,"0,05"
Golden Ale,Mayflower Brewing Company Mayflower Golden Ale,"0,05"
Leffe Blonde,Abbaye de Leffe S.A. Leffe Blonde,"0,07"
Affligem Blond,Brouwerij De Smedt / Brouwerij Affligem Affligem Blond,"0,07"
Trappist Westvleteren BlondBrouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren) Trappist Westvleteren Blonde,"0,06"
Devotion,The Lost Abbey Devotion Ale,"0,06"
Grimbergen Blonde,Brouwerij Alken-Maes Grimbergen Blonde,"0,07"
Maredsous 6 - Blonde,Brouwerij Duvel Moortgat NV Maredsous 6 - Blonde,"0,06"
Saxo,Brasserie Caracole Saxo,"0,08"
La Trappe Blond (Koningshoeven / Dominus),Bierbrouwerij De Koningshoeven B.V. La Trappe Blond (Koningshoeven / Dominus),"0,07"
Augustijn Blond,Brouwerij Van Steenberge N.V. Augustijn Blond,"0,08"
Kasteel Blond,Brouwerij Van Honsebrouck N.V. Kasteel Blond,"0,07"
Blond,Brasserie de l'Abbaye du Val-Dieu Val-Dieu Blond,"0,06"
St. Feuillien Blonde,Brasserie St. Feuillien St. Feuillien Blonde,"0,08"
Bink Blond,Brouwerij Kerkom Bink Blond,"0,06"
Blond,Brouwerij Hof Ten Dormaal Blond,"0,08"
Tongerlo Blond,Brouwerij Haacht NV Tongerlo 6 Dubbel Blond,"0,06"
Southside Blonde,Perennial Artisan Ales Southside Blonde,"0,06"
Belgian Blonde,BottleTree Beer Co. BottleTree Belgian Blonde,"0,05"
La Binchoise Blonde TraditionBrasserie La Binchoise (Malterie des Remparts),Brasserie La Binchoise (Malterie des Remparts) La Binchoise Blonde Tradition,"0,07"
Brunehaut Blonde,Brasserie De Brunehaut Brunehaut Blonde,"0,07"
Steenbrugge Blond,Brouwerij Palm NV Steenbrugge Blond,"0,07"
Abbaye De Floreffe Blonde,Brasserie Lefèbvre SA Abbaye De Floreffe Blonde,"0,06"
La Gauloise Blonde,Brasserie Du Bocq La Gauloise Blonde,"0,06"
Valeir Blond,Brouwerij Contreras Valeir Blond,"0,07"
Celestial Blonde Ale,Old Forge Brewing Company Celestial Blond Ale,"0,07"
t Smisje Blond,Brouwerij Smisje 't Smisje Blond,"0,06"
De Koninck Blond,Brouwerij De Koninck NV De Koninck Blond,"0,06"
Wendelinus Blonde,Brasserie Meteor Wendelinus,"0,07"
Ename Blond,Brouwerij Roman N.V. Ename Blond,"0,07"
St. Idesbald Blond,Brouwerij Huyghe St. Idesbald Blond,"0,06"
Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,Brasserie Val De Sambre Abbaye D'Aulne Blonde Des Pères (Sur Lie) 6°,"0,06"
Viven Blond,Brouwerij Van Viven Viven Blond,"0,06"
